year,students,us_students,undergraduate,graduate,non_degree,opt
1948/49,25464,2403400,,,,
1949/50,26433,2445000,,,,
1950/51,29813,2281000,,,,
1951/52,30462,2102000,,,,
1952/53,33675,2134000,,,,
1953/54,33833,2231000,,,,
1954/55,34232,2447000,19101,12118,,
1955/56,36494,2653000,,,,
1956/57,40666,2918000,,,,
1957/58,43391,3324000,,,,
1958/59,47245,,,,,
1959/60,48486,3640000,25164,18910,,
1960/61,53107,,,,,
1961/62,58086,4146000,,,,
1962/63,64705,,,,,
1963/64,74814,4780000,,,,
1964/65,82045,5280000,38130,35096,,
1965/66,82709,5921000,,,,
1966/67,100262,6390000,,,,
1967/68,110315,6912000,,,,
1968/69,121362,7513000,,,,
1969/70,134959,8005000,63296,59112,,
1970/71,144708,8581000,,,,
1971/72,140126,8949000,,,,
1972/73,146097,9215000,,,,
1973/74,151066,9602000,,,,
1974/75,154580,10224000,,,,
1975/76,179344,11185000,95949,83395,,
1976/77,203068,11012000,,,,
1977/78,235509,11286000,,,,
1978/79,263938,11260000,,,,
1979/80,286343,11570000,172520,94130,16850,2840
1980/81,311882,12097000,186660,99110,21660,3450
1981/82,326299,12372000,195150,106290,21980,2880
1982/83,336985,12426000,202760,110270,20340,3620
1983/84,338894,12465000,197480,118820,19190,3400
1984/85,342113,12242000,197640,122590,17570,4310
1985/86,343777,12247000,187660,132430,19540,4150
1986/87,349609,12504000,181230,146100,17550,4730
1987/88,356187,12767000,176669,156366,18352,4800
1988/89,366354,13055000,172551,165590,21189,7020
1989/90,386851,13539000,184527,169827,24785,7712
1990/91,407529,13819000,189900,182130,26730,8770
1991/92,419585,14359000,197070,191330,22960,8230
1992/93,438618,14487000,210080,193330,24200,11010
1993/94,449749,14305000,213610,201030,23680,11430
1994/95,452635,14279000,221500,191738,26188,13209
1995/96,453787,14262000,218620,190092,29625,15450
1996/97,457984,14368000,218743,190244,30872,18125
1997/98,481280,14502000,223276,207510,33912,16582
1998/99,490933,14507000,235802,211426,26863,16842
1999/00,514723,14791000,237211,218219,34436,24857
2000/01,547867,15312000,254429,238497,33883,21058
2001/02,582996,15928000,261079,264749,34423,22745
2002/03,586323,16612000,260103,267876,30551,27793
2003/04,572509,16911000,248200,274310,20659,29340
2004/05,565039,17272000,239212,264410,28418,32999
2005/06,564766,17487000,236342,259717,30611,38096
2006/07,582984,17672000,238050,264288,38986,41660
2007/08,623805,18248000,243360,276842,46837,56766
2008/09,671616,19103000,269874,283329,51812,66601
2009/10,690923,20428000,274431,293885,54803,67804
2010/11,723277,20550000,291439,296574,59233,76031
2011/12,764495,20625000,309342,300430,69566,85157
2012/13,819644,21253000,339993,311204,73528,94919
2013/14,886052,21216000,370724,329854,79477,105997
2014/15,974926,20300000,398824,362228,93587,120287
2015/16,1043839,20264000,427313,383935,85093,147498
2016/17,1078822,20185000,439019,391124,72984,175695
2017/18,1094792,19831000,442746,382953,65631,203462
2018/19,1095299,19828000,431930,377943,62341,223085
2019/20,1075496,19720000,419321,374435,58201,223539
2020/21,914095,19744000,359787,329272,21151,203885
2021/22,948519,20327000,344532,385097,34131,184759
2022/23,1057188,18961280,347602,467027,43766,198793
